Senzor_ID,Tip_Senzora,Vrednost,Status_Baterije,Datum_Očitavanja,Lokacija
SNZ-101,Temperatura,24.405935339835448,0.8553246320819996,2026-03-18 00:00:00,Centar
SNZ-135,CO2,34.362451755818626,72.39652110985976,2026-01-10 00:00:00,Centar
SNZ-140,CO2,50.272774434862285,91.4026265264405,2026-01-06 00:00:00,Park
SNZ-109,Temperatura,37.35249714900096,32.10762578786005,2026-04-10 00:00:00,Most
SNZ-140,Pritisak,13.872809038095303,76.16790200373275,2026-03-29 00:00:00,Centar
SNZ-118,Temperatura,44.18359398978723,25.301421226996943,2026-05-01 00:00:00,Most
SNZ-104,Vlažnost,24.528344236954766,40.04737307236024,2026-02-16 00:00:00,Most
SNZ-105,CO2,-10.879248976947025,30.040804787293663,2026-02-07 00:00:00,Tunel
SNZ-101,CO2,27.06387208877632,77.1987632442379,2026-05-08 00:00:00,Centar
SNZ-123,Pritisak,51.0542022767769,41.89418292879644,2026-02-28 00:00:00,Park
SNZ-135,Pritisak,16.01218168751398,75.3632284218756,2026-15-05,Tunel
SNZ-149,Temperatura,,97.80688455537862,2026-04-06 00:00:00,Most
SNZ-101,Temperatura,18.487243315056055,67.02033581075246,2026-15-05,Tunel
SNZ-148,CO2,21.835970431210104,97.54898044548764,2026-15-05,Centar
SNZ-129,Pritisak,,8.039568227512161,2026-03-24 00:00:00,Most
SNZ-138,Temperatura,8.839363992137272,54.68454103774894,2026-02-17 00:00:00,Park
SNZ-143,Vlažnost,19.50175122759817,67.53810696551122,2026-05-16 00:00:00,Tunel
SNZ-123,Temperatura,29.891234615617822,3.889852802232807,2026-04-09 00:00:00,Centar
SNZ-102,Pritisak,40.375230628595396,19.242961797869718,2026-03-06 00:00:00,Tunel
SNZ-100,Vlažnost,13.645983725459095,49.512580211517,2026-05-15 00:00:00,Most
SNZ-112,Pritisak,48.16931862363839,13.760075276039407,2026-03-23 00:00:00,Industrijska zona
SNZ-140,Vlažnost,19.16427754597248,19.254299063156655,2026-01-13 00:00:00,Most
SNZ-108,Pritisak,13.322696122526814,52.37297786777803,2026-05-09 00:00:00,Centar
SNZ-120,CO2,27.348098842553252,82.39679091794486,2026-03-26 00:00:00,Centar
SNZ-139,Pritisak,1.489224226032917,0.03332723075979427,2026-05-07 00:00:00,Centar
SNZ-115,Vlažnost,26.903485568321226,19.60865252214442,2026-02-17 00:00:00,Park
SNZ-147,Vlažnost,29.237752453484863,64.08449145759121,2026-02-23 00:00:00,Centar
SNZ-127,CO2,18.455822576086447,46.31945446538046,2026-03-04 00:00:00,Tunel
SNZ-137,CO2,43.55552890353391,71.99250431594061,2026-03-15 00:00:00,Centar
SNZ-146,CO2,29.85666822834762,66.00026009999436,2026-03-18 00:00:00,Tunel
SNZ-136,Temperatura,42.57078459166722,85.97834680923509,2026-01-26 00:00:00,Centar
SNZ-144,CO2,16.4940887841444,18.644074011585833,2026-02-08 00:00:00,Park
SNZ-117,CO2,38.707759714235905,46.87553946487488,2026-03-02 00:00:00,Tunel
SNZ-109,Temperatura,23.291237160870217,75.81325884751168,2026-03-26 00:00:00,Park
SNZ-132,Pritisak,6.4362610305157375,7.246681221363249,2026-03-08 00:00:00,Tunel
SNZ-121,Vlažnost,20.757748526500688,20.884889526682638,2026-05-14 00:00:00,Most
SNZ-147,Pritisak,25.347798062959967,17.471048663883458,2026-04-29 00:00:00,Industrijska zona
SNZ-141,Pritisak,66.57805604040331,91.35773449017466,2026-01-08 00:00:00,Most
SNZ-135,Pritisak,21.162014903936008,24.844373233387383,2026-04-21 00:00:00,Tunel
SNZ-119,Temperatura,-27.40106352795106,53.01340154930306,2026-05-21 00:00:00,Most
SNZ-122,Pritisak,21.427149064230136,60.06051225573602,2026-05-14 00:00:00,Most
SNZ-126,Pritisak,24.380991443284262,73.69327105486879,2026-05-02 00:00:00,Industrijska zona
SNZ-105,Vlažnost,17.8334385937351,58.30404551185608,2026-01-21 00:00:00,Park
SNZ-112,CO2,36.766362232044685,15.332839704255829,2026-05-11 00:00:00,Centar
SNZ-132,Temperatura,36.10399456679913,11.950427350995652,2026-04-07 00:00:00,Most
SNZ-127,Vlažnost,38.41032121306162,74.99092038485735,2026-01-06 00:00:00,Centar
SNZ-101,Pritisak,14.863980454778996,80.03281797664758,2026-03-11 00:00:00,Park
SNZ-144,CO2,28.23871819561057,25.233919188356523,2026-02-28 00:00:00,Industrijska zona
SNZ-111,Pritisak,24.610274823311983,83.65648304991122,2026-01-24 00:00:00,Tunel
SNZ-111,Temperatura,7.7547396243383595,82.85537168393581,2026-05-16 00:00:00,Industrijska zona
SNZ-129,Pritisak,14.286746668298003,19.63955692178412,2026-03-15 00:00:00,Industrijska zona
SNZ-131,Vlažnost,23.534385598898425,11.277850722637083,2026-04-26 00:00:00,Centar
SNZ-149,Temperatura,58.60171420420906,73.24070003631837,2026-05-02 00:00:00,Tunel
SNZ-141,CO2,3.028994854064301,38.34761612765655,2026-03-10 00:00:00,Tunel
SNZ-133,Pritisak,27.69085934036199,79.84102817200987,2026-01-20 00:00:00,Tunel
SNZ-112,Pritisak,7.819327885120856,92.39032067320385,2026-05-23 00:00:00,Most
SNZ-113,Temperatura,10.678426174837046,80.20033087867554,2026-05-24 00:00:00,Most
SNZ-112,Pritisak,48.64495901515264,44.86614039035102,2026-04-12 00:00:00,Industrijska zona
SNZ-135,Pritisak,-4.188402457466388,90.84886932866785,2026-03-26 00:00:00,Most
SNZ-124,CO2,,81.26799421527402,2026-03-13 00:00:00,Industrijska zona
SNZ-140,Pritisak,25.80486300409663,68.04910036965087,2026-03-28 00:00:00,Tunel
SNZ-109,Vlažnost,10.008828533993825,32.464519886325405,2026-05-02 00:00:00,Park
SNZ-140,Pritisak,31.716132424793134,41.35554253143462,2026-02-17 00:00:00,Tunel
SNZ-111,CO2,43.796862158357285,18.94705108418989,2026-01-09 00:00:00,Centar
SNZ-100,Temperatura,25.519374467463443,0.6514098910578192,2026-05-14 00:00:00,Most
SNZ-123,Pritisak,25.289142027580347,99.26446603678083,2026-05-29 00:00:00,Most
SNZ-111,Temperatura,15.3758759593035,15.610758179093542,2026-01-27 00:00:00,Most
SNZ-135,Temperatura,9.766055633931966,14.5510117986818,2026-05-12 00:00:00,Park
SNZ-148,Pritisak,16.941257495146978,82.24207357366718,2026-02-07 00:00:00,Centar
SNZ-138,CO2,35.8542794664512,86.28343363479517,2026-01-14 00:00:00,Tunel
SNZ-148,CO2,52.575617494595626,-99.0,2026-04-26 00:00:00,Industrijska zona
SNZ-102,CO2,14.606525977944852,11.897604875824474,2026-03-01 00:00:00,Most
SNZ-142,Pritisak,14.536690411577021,44.82357228196824,2026-01-29 00:00:00,Tunel
SNZ-119,Pritisak,8.808514874848704,57.7048338110125,2026-01-30 00:00:00,Tunel
SNZ-118,Temperatura,29.28745284267319,38.408132817325416,2026-04-21 00:00:00,Tunel
SNZ-140,Pritisak,37.14826558990051,15.466774432080543,2026-04-07 00:00:00,Tunel
SNZ-127,Vlažnost,,39.252864365185715,2026-05-19 00:00:00,Centar
SNZ-135,Pritisak,38.34021823599246,43.65666375555078,2026-05-15 00:00:00,Centar
SNZ-145,Pritisak,30.695751616658306,48.075315335318656,2026-04-29 00:00:00,Park
SNZ-129,Vlažnost,2.508865787180035,41.51412612088653,2026-02-22 00:00:00,Tunel
